job_description,category
"Unity developer needed with C# mobile games gameplay UI and Firebase","Unity/Game Developer"
"Game developer required for Unity C# physics UI mobile games and PlayFab","Unity/Game Developer"
"Unity engineer with experience in gameplay systems C# Android iOS and game optimization","Unity/Game Developer"
"Python backend developer needed with APIs FastAPI Django SQL JSON and automation","Python Backend Developer"
"Backend engineer required with Python REST APIs databases Docker and cloud services","Python Backend Developer"
"Python developer with experience in Flask APIs PostgreSQL automation and server tools","Python Backend Developer"
"Machine learning engineer needed with Python pandas scikit-learn data analysis and models","Data/ML Developer"
"Data scientist required with pandas numpy machine learning statistics and model training","Data/ML Developer"
"AI ML developer with Python datasets classification regression scikit-learn and analytics","Data/ML Developer"
"Frontend web developer needed with HTML CSS JavaScript React and responsive design","Web Developer"
"Web developer required with JavaScript TypeScript React APIs and frontend development","Web Developer"
"Full stack web engineer with React Node APIs HTML CSS and browser debugging","Web Developer"
"Software developer needed with problem solving Git testing APIs and clean code","General Software Developer"
"Junior software engineer required with Git debugging OOP databases and coding skills","General Software Developer"
"Application developer with programming knowledge testing documentation and version control","General Software Developer"
